State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Value_dollars
ALABAMA,1,BLACK BELT,40,AUTAUGA,1,CROP TOTALS,"12,535,000"
ALABAMA,1,BLACK BELT,40,BULLOCK,11,CROP TOTALS, na
ALABAMA,1,BLACK BELT,40,DALLAS,47,CROP TOTALS,"27,886,000"
ALABAMA,1,BLACK BELT,40,ELMORE,51,CROP TOTALS,"17,382,000"
ALABAMA,1,BLACK BELT,40,GREENE,63,CROP TOTALS,"1,178,000"
ALABAMA,1,BLACK BELT,40,HALE,65,CROP TOTALS,"4,198,000"
ALABAMA,1,BLACK BELT,40,LOWNDES,85,CROP TOTALS,"12,721,000"
ALABAMA,1,BLACK BELT,40,MACON,87,CROP TOTALS,"16,470,000"
ALABAMA,1,BLACK BELT,40,MARENGO,91,CROP TOTALS,"5,229,000"
ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,CROP TOTALS,"14,435,000"
ALABAMA,1,BLACK BELT,40,PERRY,105,CROP TOTALS,"11,125,000"
ALABAMA,1,BLACK BELT,40,SUMTER,119,CROP TOTALS,"4,832,000"
ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,CROP TOTALS,"101,620,000"
ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,CROP TOTALS,"4,619,000"
ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,CROP TOTALS,"789,000"
ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,CROP TOTALS,"1,228,000"
ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,CROP TOTALS,"8,720,000"
ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,CROP TOTALS,"27,430,000"
ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,CROP TOTALS,"80,448,000"
ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,CROP TOTALS,"21,033,000"
ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,CROP TOTALS,"7,227,000"
ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,CROP TOTALS,"2,440,000"
ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,CROP TOTALS,"13,240,000"
ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,CROP TOTALS,"13,011,000"
ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,CROP TOTALS,"39,443,000"
ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,CROP TOTALS,"3,062,000"
ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,CROP TOTALS,"18,602,000"
ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,CROP TOTALS,"25,045,000"
ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,CROP TOTALS,"6,214,000"
ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,CROP TOTALS,"30,567,000"
ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,CROP TOTALS,"8,255,000"
ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,CROP TOTALS,"7,736,000"
ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,CROP TOTALS,"37,831,000"
ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,CROP TOTALS,"6,334,000"
ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,CROP TOTALS,"40,271,000"
ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,CROP TOTALS,"58,988,000"
ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,CROP TOTALS,"78,594,000"
ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,CROP TOTALS,"64,597,000"
ALABAMA,1,NORTHERN VALLEY,10,MARION,93,CROP TOTALS,"3,222,000"
ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,CROP TOTALS,"10,767,000"
ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,CROP TOTALS,"972,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,CROP TOTALS,"2,246,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,CROP TOTALS,"1,681,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,CROP TOTALS,"6,700,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,CROP TOTALS,"981,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37,CROP TOTALS,"300,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,CROP TOTALS,"7,856,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,CROP TOTALS,"1,365,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,CROP TOTALS,"3,162,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,CROP TOTALS, na
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,CROP TOTALS,"7,861,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,CROP TOTALS,"2,700,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,CROP TOTALS,"13,893,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,CROP TOTALS,"11,698,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123,CROP TOTALS,"1,999,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,CROP TOTALS,"6,907,000"
ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,CROP TOTALS,"4,376,000"
ALABAMA,1,WIREGRASS,60,BARBOUR,5,CROP TOTALS,"12,098,000"
ALABAMA,1,WIREGRASS,60,COFFEE,31,CROP TOTALS,"17,128,000"
ALABAMA,1,WIREGRASS,60,COVINGTON,39,CROP TOTALS,"21,062,000"
ALABAMA,1,WIREGRASS,60,CRENSHAW,41,CROP TOTALS,"3,735,000"
ALABAMA,1,WIREGRASS,60,DALE,45,CROP TOTALS,"17,024,000"
ALABAMA,1,WIREGRASS,60,GENEVA,61,CROP TOTALS,"34,381,000"
ALABAMA,1,WIREGRASS,60,HENRY,67,CROP TOTALS,"28,116,000"
ALABAMA,1,WIREGRASS,60,HOUSTON,69,CROP TOTALS,"47,485,000"
ALABAMA,1,WIREGRASS,60,PIKE,109,CROP TOTALS,"10,027,000"
ALABAMA,1,WIREGRASS,60,RUSSELL,113,CROP TOTALS,"12,331,000"
ALASKA,2,KENAI PENINSULA,30,KENAI PENINSULA,,CROP TOTALS,"2,711,000"
ALASKA,2,MATANUSKA-SUSITNA-ANCHORAGE,20,ANCHORAGE,,CROP TOTALS,"17,133,000"
ALASKA,2,SOUTHEAST,40,JUNEAU,,CROP TOTALS,"923,000"
ALASKA,2,SOUTHWEST & WEST,50,ALEUTIAN ISLANDS,,CROP TOTALS,"390,000"
ALASKA,2,TANANA VALLEY,10,FAIRBANKS NORTH STAR,,CROP TOTALS,"8,485,000"
ARIZONA,4,NORTHERN,10,APACHE,1,CROP TOTALS,"3,613,000"
ARIZONA,4,NORTHERN,10,COCONINO,5,CROP TOTALS,"977,000"
ARIZONA,4,NORTHERN,10,GILA,7,CROP TOTALS,"561,000"
ARIZONA,4,NORTHERN,10,MOHAVE,15,CROP TOTALS,"22,975,000"
ARIZONA,4,NORTHERN,10,NAVAJO,17,CROP TOTALS,"4,316,000"
